alert_id,entity_id,asset_id,category,severity,created_at,first_ack_at,closed_at,disposition,escalated,escalated_at,case_id
AL-000000001,CSE-001,AST-001-2,intrusion,critical,2026-08-19T17:56:00+00:00,2026-08-19T18:01:00+00:00,2026-08-20T01:58:00+00:00,benign,False,,
AL-000000002,CSE-001,AST-001-3,DoS,medium,2026-08-17T10:29:00+00:00,2026-08-17T10:34:00+00:00,2026-08-17T13:31:00+00:00,true_positive,False,,
AL-000000003,CSE-001,AST-001-2,intrusion,high,2026-08-22T11:23:00+00:00,2026-08-22T11:28:00+00:00,2026-08-22T18:59:00+00:00,unresolved,False,,
AL-000000004,CSE-001,AST-001-2,malware,high,2026-08-04T14:24:00+00:00,2026-08-04T14:29:00+00:00,2026-08-04T22:11:00+00:00,false_positive,False,,
AL-000000005,CSE-001,AST-001-2,DoS,medium,2026-08-14T15:36:00+00:00,2026-08-14T15:41:00+00:00,2026-08-14T17:59:00+00:00,benign,False,,
AL-000000006,CSE-001,AST-001-3,malware,medium,2026-08-18T14:03:00+00:00,2026-08-18T14:08:00+00:00,2026-08-18T17:58:00+00:00,false_positive,False,,
AL-000000007,CSE-001,AST-001-2,phishing,medium,2026-08-17T01:48:00+00:00,2026-08-17T01:53:00+00:00,2026-08-17T03:58:00+00:00,false_positive,False,,
AL-000000008,CSE-001,AST-001-2,DoS,high,2026-08-03T05:33:00+00:00,2026-08-03T05:38:00+00:00,2026-08-03T12:52:00+00:00,false_positive,False,,
AL-000000009,CSE-001,AST-001-1,phishing,high,2026-08-06T08:45:00+00:00,2026-08-06T08:50:00+00:00,2026-08-06T16:49:00+00:00,false_positive,False,,
AL-000000010,CSE-001,AST-001-3,DoS,low,2026-08-12T00:49:00+00:00,2026-08-12T00:54:00+00:00,2026-08-12T03:04:00+00:00,true_positive,False,,
AL-000000011,CSE-001,AST-001-2,phishing,high,2026-08-07T20:52:00+00:00,2026-08-07T20:57:00+00:00,2026-08-08T04:40:00+00:00,false_positive,False,,
AL-000000012,CSE-001,AST-001-1,phishing,low,2026-08-14T00:10:00+00:00,2026-08-14T00:15:00+00:00,2026-08-14T03:22:00+00:00,benign,False,,
AL-000000013,CSE-001,AST-001-3,phishing,medium,2026-08-16T20:08:00+00:00,2026-08-16T20:13:00+00:00,2026-08-16T21:50:00+00:00,benign,False,,
AL-000000014,CSE-001,AST-001-1,intrusion,medium,2026-08-14T10:43:00+00:00,2026-08-14T10:48:00+00:00,2026-08-14T18:52:00+00:00,true_positive,False,,
AL-000000015,CSE-001,AST-001-2,malware,low,2026-08-17T20:03:00+00:00,2026-08-17T20:08:00+00:00,2026-08-17T23:32:00+00:00,benign,False,,
AL-000000016,CSE-001,AST-001-1,intrusion,low,2026-08-23T17:11:00+00:00,2026-08-23T17:16:00+00:00,2026-08-24T01:53:00+00:00,false_positive,False,,
