asset_id,entity_id,criticality,asset_type
AST-001-1,CSE-001,critical,payment gateway
AST-001-2,CSE-001,critical,domain controller
AST-001-3,CSE-001,high,domain controller
AST-002-1,CSE-002,critical,payment gateway
AST-002-2,CSE-002,critical,domain controller
AST-002-3,CSE-002,high,domain controller
AST-003-1,CSE-003,critical,payment gateway
AST-003-2,CSE-003,critical,domain controller
AST-003-3,CSE-003,high,domain controller
AST-004-1,CSE-004,critical,payment gateway
AST-004-2,CSE-004,critical,domain controller
AST-004-3,CSE-004,high,domain controller
AST-005-1,CSE-005,critical,payment gateway
AST-005-2,CSE-005,critical,domain controller
AST-005-3,CSE-005,high,domain controller
AST-006-1,CSE-006,critical,payment gateway
AST-006-2,CSE-006,critical,domain controller
AST-006-3,CSE-006,high,domain controller
AST-007-1,CSE-007,critical,payment gateway
AST-007-2,CSE-007,critical,domain controller
AST-007-3,CSE-007,high,domain controller
AST-008-1,CSE-008,critical,payment gateway
AST-008-2,CSE-008,critical,domain controller
AST-008-3,CSE-008,high,domain controller
AST-009-1,CSE-009,critical,payment gateway
AST-009-2,CSE-009,critical,domain controller
AST-009-3,CSE-009,high,domain controller
AST-010-1,CSE-010,critical,payment gateway
AST-010-2,CSE-010,critical,domain controller
AST-010-3,CSE-010,high,domain controller
AST-011-1,CSE-011,critical,payment gateway
AST-011-2,CSE-011,critical,domain controller
AST-011-3,CSE-011,high,domain controller
AST-012-1,CSE-012,critical,payment gateway
AST-012-2,CSE-012,critical,domain controller
AST-012-3,CSE-012,high,domain controller
AST-013-1,CSE-013,critical,payment gateway
AST-013-2,CSE-013,critical,domain controller
AST-013-3,CSE-013,high,domain controller
AST-014-1,CSE-014,critical,payment gateway
AST-014-2,CSE-014,critical,domain controller
AST-014-3,CSE-014,high,domain controller
AST-015-1,CSE-015,critical,payment gateway
AST-015-2,CSE-015,critical,domain controller
AST-015-3,CSE-015,high,domain controller
AST-016-1,CSE-016,critical,payment gateway
AST-016-2,CSE-016,critical,domain controller
AST-016-3,CSE-016,high,domain controller
AST-017-1,CSE-017,critical,payment gateway
AST-017-2,CSE-017,critical,domain controller
AST-017-3,CSE-017,high,domain controller
AST-018-1,CSE-018,critical,payment gateway
AST-018-2,CSE-018,critical,domain controller
AST-018-3,CSE-018,high,domain controller
AST-019-1,CSE-019,critical,payment gateway
AST-019-2,CSE-019,critical,domain controller
AST-019-3,CSE-019,high,domain controller
AST-020-1,CSE-020,critical,payment gateway
AST-020-2,CSE-020,critical,domain controller
AST-020-3,CSE-020,high,domain controller
AST-021-1,CSE-021,critical,payment gateway
AST-021-2,CSE-021,critical,domain controller
AST-021-3,CSE-021,high,domain controller
AST-022-1,CSE-022,critical,payment gateway
AST-022-2,CSE-022,critical,domain controller
AST-022-3,CSE-022,high,domain controller
AST-023-1,CSE-023,critical,payment gateway
AST-023-2,CSE-023,critical,domain controller
AST-023-3,CSE-023,high,domain controller
AST-024-1,CSE-024,critical,payment gateway
AST-024-2,CSE-024,critical,domain controller
AST-024-3,CSE-024,high,domain controller
AST-025-1,CSE-025,critical,payment gateway
AST-025-2,CSE-025,critical,domain controller
AST-025-3,CSE-025,high,domain controller
