asset_id,entity_id,criticality,asset_type
AST-001-1,CSE-001,critical,payment gateway
AST-001-2,CSE-001,critical,domain controller
AST-001-3,CSE-001,high,domain controller
AST-002-1,CSE-002,critical,payment gateway
AST-002-2,CSE-002,critical,domain controller
AST-002-3,CSE-002,high,domain controller
AST-003-1,CSE-003,critical,payment gateway
AST-003-2,CSE-003,critical,domain controller
AST-003-3,CSE-003,high,domain controller
AST-004-1,CSE-004,critical,payment gateway
AST-004-2,CSE-004,critical,domain controller
AST-004-3,CSE-004,high,domain controller
AST-005-1,CSE-005,critical,payment gateway
AST-005-2,CSE-005,critical,domain controller
AST-005-3,CSE-005,high,domain controller
AST-006-1,CSE-006,critical,payment gateway
AST-006-2,CSE-006,critical,domain controller
AST-006-3,CSE-006,high,domain controller
AST-007-1,CSE-007,critical,payment gateway
AST-007-2,CSE-007,critical,domain controller
AST-007-3,CSE-007,high,domain controller
AST-008-1,CSE-008,critical,payment gateway
AST-008-2,CSE-008,critical,domain controller
AST-008-3,CSE-008,high,domain controller
AST-009-1,CSE-009,critical,payment gateway
AST-009-2,CSE-009,critical,domain controller
AST-009-3,CSE-009,high,domain controller
AST-010-1,CSE-010,critical,payment gateway
AST-010-2,CSE-010,critical,domain controller
AST-010-3,CSE-010,high,domain controller
AST-011-1,CSE-011,critical,payment gateway
AST-011-2,CSE-011,critical,domain controller
AST-011-3,CSE-011,high,domain controller
AST-012-1,CSE-012,critical,payment gateway
AST-012-2,CSE-012,critical,domain controller
AST-012-3,CSE-012,high,domain controller
