alert_id,entity_id,asset_id,category,severity,created_at,first_ack_at,closed_at,disposition,escalated,escalated_at,case_id
AL-000001,CSE-001,AST-001-3,malware,critical,2026-08-27T18:28:00+00:00,2026-08-27T18:33:00+00:00,2026-08-28T02:35:00+00:00,benign,False,,
AL-000002,CSE-001,AST-001-3,phishing,medium,2026-08-06T03:33:00+00:00,2026-08-06T03:38:00+00:00,2026-08-06T08:36:00+00:00,unresolved,False,,
AL-000003,CSE-001,AST-001-2,phishing,medium,2026-08-18T19:56:00+00:00,2026-08-18T20:01:00+00:00,2026-08-19T04:20:00+00:00,false_positive,False,,
AL-000004,CSE-001,AST-001-2,phishing,high,2026-08-04T18:02:00+00:00,2026-08-04T18:07:00+00:00,2026-08-05T01:59:00+00:00,benign,False,,
AL-000005,CSE-001,AST-001-3,malware,critical,2026-08-20T05:15:00+00:00,2026-08-20T05:20:00+00:00,2026-08-20T13:06:00+00:00,benign,False,,
AL-000006,CSE-001,AST-001-3,phishing,low,2026-08-19T22:44:00+00:00,2026-08-19T22:49:00+00:00,2026-08-20T03:56:00+00:00,true_positive,False,,
AL-000007,CSE-001,AST-001-3,malware,critical,2026-08-03T17:56:00+00:00,2026-08-03T18:01:00+00:00,2026-08-04T01:27:00+00:00,false_positive,False,,
AL-000008,CSE-001,AST-001-2,intrusion,low,2026-08-16T21:12:00+00:00,2026-08-16T21:17:00+00:00,2026-08-17T02:21:00+00:00,false_positive,False,,
AL-000009,CSE-001,AST-001-2,phishing,medium,2026-08-23T22:05:00+00:00,2026-08-23T22:10:00+00:00,2026-08-24T07:32:00+00:00,benign,False,,
AL-000010,CSE-001,AST-001-3,DoS,low,2026-08-10T04:37:00+00:00,2026-08-10T04:42:00+00:00,2026-08-10T12:31:00+00:00,benign,False,,
AL-000011,CSE-001,AST-001-3,DoS,low,2026-08-19T06:19:00+00:00,2026-08-19T06:24:00+00:00,2026-08-19T09:28:00+00:00,true_positive,False,,
AL-000012,CSE-001,AST-001-3,intrusion,low,2026-08-24T16:52:00+00:00,2026-08-24T16:57:00+00:00,2026-08-25T01:02:00+00:00,benign,False,,
