entity_id,name,peer_group,sector
CSE-001,Synthetic CSE 1,finserv-tier2,financial
CSE-002,Synthetic CSE 2,energy-tier2,energy
CSE-003,Synthetic CSE 3,finserv-tier2,financial
CSE-004,Synthetic CSE 4,energy-tier2,energy
CSE-005,Synthetic CSE 5,finserv-tier2,financial
CSE-006,Synthetic CSE 6,energy-tier2,energy
CSE-007,Synthetic CSE 7,finserv-tier2,financial
CSE-008,Synthetic CSE 8,energy-tier2,energy
CSE-009,Synthetic CSE 9,finserv-tier2,financial
CSE-010,Synthetic CSE 10,energy-tier2,energy
CSE-011,Synthetic CSE 11,finserv-tier2,financial
CSE-012,Synthetic CSE 12,energy-tier2,energy
