entity_id,risk_score,priority_rank,flag_count_by_detector,distinct_detectors_triggered,alert_volume
CSE-016,1.1669,1,"{""fast_closure"": 1, ""low_coverage"": 1, ""no_escalation"": 1}",3,402
CSE-003,0.5003,2,"{""no_escalation"": 1}",1,401
CSE-005,0.5003,3,"{""no_escalation"": 1}",1,401
CSE-014,0.5003,4,"{""no_escalation"": 1}",1,401
CSE-004,0.3337,5,"{""low_coverage"": 1}",1,400
CSE-013,0.3337,6,"{""low_coverage"": 1}",1,400
CSE-019,0.3337,7,"{""low_coverage"": 1}",1,400
CSE-002,0.3335,8,"{""fast_closure"": 1}",1,401
CSE-011,0.3335,9,"{""fast_closure"": 1}",1,401
CSE-018,0.3335,10,"{""fast_closure"": 1}",1,401
CSE-001,0.0,11,{},0,400
CSE-006,0.0,12,{},0,400
CSE-007,0.0,13,{},0,400
CSE-008,0.0,14,{},0,400
CSE-009,0.0,15,{},0,400
CSE-010,0.0,16,{},0,400
CSE-012,0.0,17,{},0,400
CSE-015,0.0,18,{},0,400
CSE-017,0.0,19,{},0,400
CSE-020,0.0,20,{},0,400
CSE-021,0.0,21,{},0,400
CSE-022,0.0,22,{},0,400
CSE-023,0.0,23,{},0,400
CSE-024,0.0,24,{},0,400
CSE-025,0.0,25,{},0,400
